epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.181,1.38444,5.50464,1.01387,0.49132,0.19891,0.14969,0.09384,1.34921,2.55291,0.98901,0.0700915,0.00332317,0.00332317
2,191.941,1.30542,2.69047,0.98865,0.46956,0.31385,0.2966,0.19981,1.19885,1.98395,0.96393,0.0400475,0.00661257,0.00661257
3,273.807,1.34011,2.34224,1.01365,0.39844,0.29538,0.21991,0.13636,1.43849,3.02528,1.05041,0.0099596,0.00985797,0.00985797
4,355.457,1.39069,2.22579,1.04335,0.47936,0.39119,0.37386,0.24404,1.30822,1.9242,1.00274,0.009802,0.009802,0.009802
5,437.042,1.31689,1.96049,1.01637,0.56256,0.40685,0.41175,0.26841,1.29949,1.69398,1.00072,0.009736,0.009736,0.009736
6,518.509,1.27438,1.81817,1.0029,0.57243,0.4798,0.49425,0.33632,1.20354,1.52466,0.9699,0.00967,0.00967,0.00967
7,599.955,1.24244,1.72411,0.99003,0.59746,0.47417,0.5283,0.36305,1.1548,1.46456,0.95855,0.009604,0.009604,0.009604
8,681.388,1.20648,1.6175,0.98021,0.6568,0.51166,0.58977,0.40097,1.21694,1.34226,0.97157,0.009538,0.009538,0.009538
9,762.778,1.18624,1.54458,0.97729,0.64854,0.51819,0.58009,0.3577,1.41766,1.433,1.02143,0.009472,0.009472,0.009472
10,844.155,1.16677,1.48367,0.96618,0.68132,0.57929,0.6534,0.45489,1.13511,1.20115,0.94457,0.009406,0.009406,0.009406
11,925.591,1.15872,1.45698,0.96765,0.72208,0.56314,0.66985,0.47806,1.088,1.14758,0.93283,0.00934,0.00934,0.00934
12,1007.02,1.14137,1.41455,0.95449,0.717,0.60208,0.66657,0.47529,1.09974,1.18031,0.93431,0.009274,0.009274,0.009274
13,1088.42,1.13009,1.36054,0.95242,0.73337,0.5963,0.69242,0.49417,1.07816,1.11439,0.93034,0.009208,0.009208,0.009208
14,1169.82,1.12673,1.33754,0.95296,0.69635,0.64117,0.7089,0.51837,1.0438,1.07365,0.92052,0.009142,0.009142,0.009142
15,1251.15,1.12104,1.32108,0.95562,0.64011,0.67109,0.70629,0.47487,1.20014,1.09948,0.94916,0.009076,0.009076,0.009076
16,1332.43,1.11332,1.30364,0.95113,0.7182,0.6293,0.7093,0.50042,1.10526,1.06871,0.93242,0.00901,0.00901,0.00901
17,1413.86,1.0953,1.27029,0.94418,0.73215,0.63723,0.71654,0.51979,1.04947,1.0372,0.91827,0.008944,0.008944,0.008944
18,1495.28,1.09126,1.26005,0.94429,0.7178,0.65953,0.73784,0.5357,1.02941,1.01521,0.91647,0.008878,0.008878,0.008878
19,1576.62,1.09528,1.24513,0.94192,0.70498,0.72508,0.75573,0.54869,1.02566,0.97449,0.91512,0.008812,0.008812,0.008812
20,1657.85,1.0795,1.22544,0.94004,0.71335,0.69135,0.74713,0.54984,1.02038,0.97136,0.91299,0.008746,0.008746,0.008746
21,1739.01,1.08236,1.21379,0.93624,0.75104,0.68589,0.75527,0.55007,1.03783,0.95114,0.91331,0.00868,0.00868,0.00868
22,1820.23,1.06632,1.19745,0.93511,0.74428,0.69093,0.76835,0.57169,0.99769,0.943,0.90693,0.008614,0.008614,0.008614
23,1901.52,1.063,1.19112,0.93338,0.71739,0.72698,0.76616,0.56212,1.02937,0.92577,0.9119,0.008548,0.008548,0.008548
24,1982.77,1.0522,1.16529,0.9337,0.73293,0.73927,0.7811,0.57448,1.00299,0.935,0.90803,0.008482,0.008482,0.008482
25,2064.08,1.05504,1.16188,0.92924,0.72528,0.73602,0.77146,0.56009,1.05089,0.91362,0.91475,0.008416,0.008416,0.008416
26,2145.73,1.05622,1.14645,0.92945,0.73378,0.72103,0.77905,0.57343,1.00513,0.90798,0.90719,0.00835,0.00835,0.00835
27,2228.1,1.03683,1.12841,0.92354,0.78333,0.70823,0.79987,0.59363,0.98419,0.87917,0.90076,0.008284,0.008284,0.008284
28,2309.55,1.04632,1.12428,0.92903,0.75154,0.73148,0.78762,0.57292,1.0232,0.88101,0.90526,0.008218,0.008218,0.008218
29,2390.87,1.04448,1.12466,0.92465,0.75525,0.7437,0.80039,0.58505,1.02723,0.8772,0.90909,0.008152,0.008152,0.008152
30,2472.08,1.03389,1.10416,0.92248,0.75277,0.75308,0.81105,0.60252,0.9876,0.85126,0.90106,0.008086,0.008086,0.008086
31,2553.4,1.04155,1.10663,0.92419,0.73446,0.76711,0.79867,0.58342,1.01118,0.86553,0.90376,0.00802,0.00802,0.00802
32,2634.68,1.02037,1.08139,0.92135,0.70836,0.78687,0.80722,0.59187,1.01451,0.85731,0.90548,0.007954,0.007954,0.007954
33,2715.86,1.02197,1.07148,0.91945,0.79256,0.72586,0.8109,0.60281,0.98285,0.83172,0.89953,0.007888,0.007888,0.007888
34,2797.09,1.02768,1.07067,0.92522,0.79452,0.7232,0.81392,0.60057,0.99817,0.83076,0.90133,0.007822,0.007822,0.007822
35,2878.24,1.02324,1.07054,0.92367,0.76773,0.74227,0.7965,0.58755,1.00515,0.83677,0.90371,0.007756,0.007756,0.007756
36,2959.36,1.02054,1.06827,0.91746,0.80207,0.75422,0.8218,0.6125,0.98889,0.82275,0.89853,0.00769,0.00769,0.00769
37,3040.47,1.00817,1.03678,0.91826,0.76586,0.77338,0.82489,0.61173,0.98338,0.80906,0.89715,0.007624,0.007624,0.007624
38,3121.59,1.01537,1.04764,0.91814,0.72722,0.79983,0.81151,0.60314,0.99137,0.8083,0.89818,0.007558,0.007558,0.007558
39,3202.68,1.00229,1.04244,0.91222,0.78591,0.7682,0.83545,0.61802,0.98603,0.80448,0.89556,0.007492,0.007492,0.007492
40,3283.79,1.00377,1.03905,0.91241,0.76207,0.77821,0.8294,0.6178,0.98333,0.78985,0.89491,0.007426,0.007426,0.007426
41,3364.89,0.99623,1.01639,0.91432,0.79283,0.75797,0.82535,0.61825,0.96875,0.78399,0.89262,0.00736,0.00736,0.00736
42,3446.01,0.99551,1.01068,0.91495,0.81204,0.75418,0.84058,0.62335,0.9861,0.7789,0.89764,0.007294,0.007294,0.007294
43,3527.14,0.99816,1.0182,0.91361,0.79517,0.76532,0.8363,0.62608,0.95734,0.77216,0.89117,0.007228,0.007228,0.007228
44,3608.32,0.99728,1.00949,0.91231,0.80116,0.77022,0.83121,0.62477,0.95954,0.7696,0.89024,0.007162,0.007162,0.007162
45,3689.33,0.99007,1.00239,0.90977,0.82176,0.74507,0.83595,0.62851,0.94549,0.76011,0.8885,0.007096,0.007096,0.007096
46,3770.49,0.99314,0.99682,0.91114,0.77511,0.79554,0.84776,0.64015,0.95904,0.75889,0.89178,0.00703,0.00703,0.00703
47,3851.6,0.98499,0.98723,0.91135,0.81142,0.76471,0.84756,0.63811,0.97039,0.75455,0.893,0.006964,0.006964,0.006964
48,3932.68,0.9837,0.99636,0.90815,0.79072,0.78294,0.84969,0.63799,0.97466,0.75196,0.89396,0.006898,0.006898,0.006898
49,4013.81,0.98968,0.97599,0.91091,0.79908,0.76747,0.84364,0.63516,0.95903,0.7497,0.89048,0.006832,0.006832,0.006832
50,4094.88,0.9869,0.97832,0.91258,0.80689,0.76977,0.84684,0.64209,0.94432,0.74623,0.88832,0.006766,0.006766,0.006766
51,4175.98,0.98024,0.97488,0.91295,0.79655,0.80719,0.85431,0.6449,0.93703,0.73741,0.88594,0.0067,0.0067,0.0067
52,4257.09,0.97328,0.95467,0.90878,0.81122,0.78922,0.85609,0.64476,0.95331,0.73515,0.88839,0.006634,0.006634,0.006634
53,4338.17,0.97248,0.9575,0.90871,0.81344,0.78405,0.86025,0.64491,0.95852,0.73804,0.88849,0.006568,0.006568,0.006568
54,4419.21,0.97478,0.94917,0.90909,0.77518,0.81975,0.85206,0.64139,0.95328,0.73318,0.88777,0.006502,0.006502,0.006502
55,4500.23,0.96327,0.95085,0.90339,0.80813,0.78925,0.8537,0.64142,0.95655,0.7298,0.88873,0.006436,0.006436,0.006436
56,4581.28,0.96969,0.94692,0.90189,0.76218,0.83509,0.85862,0.64906,0.93953,0.73146,0.88685,0.00637,0.00637,0.00637
57,4662.33,0.96634,0.93455,0.9042,0.77544,0.82434,0.86023,0.64609,0.95347,0.72683,0.8881,0.006304,0.006304,0.006304
58,4743.43,0.9615,0.93392,0.90194,0.83394,0.78249,0.85966,0.64931,0.94134,0.72135,0.88576,0.006238,0.006238,0.006238
59,4824.42,0.9645,0.93055,0.90213,0.81711,0.79411,0.86209,0.65149,0.93321,0.71526,0.88352,0.006172,0.006172,0.006172
60,4905.46,0.95745,0.93344,0.90432,0.81313,0.79327,0.86632,0.65462,0.93748,0.71448,0.88463,0.006106,0.006106,0.006106
61,4986.46,0.95682,0.91772,0.90175,0.83802,0.77491,0.865,0.65586,0.92964,0.70895,0.88309,0.00604,0.00604,0.00604
62,5067.53,0.95435,0.90657,0.89955,0.82591,0.79724,0.8679,0.66059,0.92577,0.70735,0.88204,0.005974,0.005974,0.005974
63,5148.6,0.95206,0.91685,0.90068,0.83711,0.78014,0.86872,0.6576,0.9299,0.70893,0.88242,0.005908,0.005908,0.005908
64,5229.66,0.94252,0.89677,0.90249,0.85578,0.76644,0.86579,0.65788,0.92729,0.7091,0.88133,0.005842,0.005842,0.005842
65,5310.6,0.9575,0.90794,0.90081,0.80839,0.80466,0.86641,0.65563,0.93668,0.70945,0.88298,0.005776,0.005776,0.005776
66,5391.54,0.94257,0.89445,0.89979,0.78459,0.82517,0.8689,0.6566,0.93256,0.70754,0.88258,0.00571,0.00571,0.00571
67,5472.65,0.94958,0.88431,0.89861,0.81419,0.79862,0.87227,0.6627,0.92963,0.70101,0.88253,0.005644,0.005644,0.005644
68,5553.64,0.94337,0.88869,0.89956,0.80391,0.81245,0.86893,0.65791,0.92382,0.70073,0.88153,0.005578,0.005578,0.005578
69,5634.63,0.94266,0.88438,0.89668,0.79159,0.83416,0.87261,0.66581,0.92214,0.69634,0.8806,0.005512,0.005512,0.005512
70,5715.6,0.93938,0.88943,0.89733,0.77252,0.84971,0.87225,0.66377,0.92088,0.69837,0.88029,0.005446,0.005446,0.005446
71,5796.53,0.94455,0.87871,0.89916,0.7894,0.83071,0.87238,0.66296,0.92285,0.69717,0.87997,0.00538,0.00538,0.00538
72,5877.49,0.93606,0.87226,0.89622,0.74492,0.87193,0.87444,0.66388,0.92146,0.69416,0.88,0.005314,0.005314,0.005314
73,5958.37,0.9259,0.86905,0.8956,0.83213,0.78928,0.8764,0.66477,0.92219,0.69126,0.87999,0.005248,0.005248,0.005248
74,6039.32,0.9375,0.87526,0.8948,0.79795,0.82192,0.8758,0.66649,0.92268,0.69058,0.87976,0.005182,0.005182,0.005182
75,6120.27,0.92772,0.85224,0.89662,0.81376,0.81002,0.87432,0.66581,0.92254,0.69156,0.88008,0.005116,0.005116,0.005116
76,6201.19,0.93348,0.86825,0.89362,0.77264,0.84976,0.8724,0.66642,0.92184,0.69108,0.88013,0.00505,0.00505,0.00505
77,6282.12,0.92139,0.85407,0.89423,0.77344,0.85276,0.87441,0.66818,0.91876,0.68969,0.87941,0.004984,0.004984,0.004984
78,6363.14,0.92047,0.84872,0.89316,0.78616,0.85065,0.88115,0.67196,0.91887,0.68859,0.87953,0.004918,0.004918,0.004918
79,6444.18,0.91978,0.8513,0.89294,0.79191,0.84844,0.88017,0.6717,0.91909,0.68482,0.87973,0.004852,0.004852,0.004852
80,6525.15,0.91606,0.82924,0.89265,0.79771,0.84708,0.87995,0.67277,0.91859,0.68333,0.8796,0.004786,0.004786,0.004786
81,6606.09,0.91765,0.84338,0.89021,0.795,0.84895,0.88616,0.67547,0.92225,0.68307,0.88024,0.00472,0.00472,0.00472
82,6687.08,0.91409,0.83197,0.8946,0.80148,0.84723,0.88689,0.67668,0.92292,0.68177,0.88023,0.004654,0.004654,0.004654
83,6768.09,0.91481,0.83572,0.8918,0.79991,0.84349,0.8868,0.67516,0.92394,0.68092,0.88058,0.004588,0.004588,0.004588
84,6848.99,0.90414,0.82148,0.88961,0.80537,0.83536,0.88404,0.67284,0.92515,0.67999,0.88085,0.004522,0.004522,0.004522
85,6929.95,0.90777,0.82266,0.8904,0.77805,0.8615,0.88332,0.67295,0.92404,0.67897,0.88078,0.004456,0.004456,0.004456
86,7010.79,0.89916,0.81849,0.88764,0.77919,0.85876,0.88353,0.67431,0.92389,0.67799,0.88063,0.00439,0.00439,0.00439
87,7091.63,0.90727,0.81807,0.88579,0.77722,0.8691,0.88421,0.67346,0.92422,0.67832,0.88061,0.004324,0.004324,0.004324
88,7172.49,0.90214,0.81197,0.888,0.78041,0.86835,0.88633,0.67469,0.92468,0.67722,0.8805,0.004258,0.004258,0.004258
89,7253.3,0.89674,0.8024,0.8866,0.78549,0.8664,0.88638,0.67733,0.92368,0.67788,0.88013,0.004192,0.004192,0.004192
90,7334.19,0.89945,0.79673,0.88386,0.79141,0.86341,0.88877,0.67948,0.92177,0.67714,0.87958,0.004126,0.004126,0.004126
91,7415.07,0.89434,0.79261,0.88448,0.78563,0.86658,0.88901,0.67908,0.92039,0.67616,0.87918,0.00406,0.00406,0.00406
92,7495.99,0.89313,0.79252,0.88477,0.78617,0.86545,0.88996,0.68091,0.91852,0.67518,0.87881,0.003994,0.003994,0.003994
93,7576.94,0.88909,0.78946,0.88374,0.78409,0.86526,0.89226,0.68273,0.91702,0.67475,0.87858,0.003928,0.003928,0.003928
94,7657.79,0.89402,0.7886,0.88894,0.78547,0.86485,0.89125,0.68352,0.91792,0.6755,0.87882,0.003862,0.003862,0.003862
95,7738.73,0.8858,0.7852,0.88469,0.78696,0.8632,0.89118,0.68202,0.91829,0.67608,0.87882,0.003796,0.003796,0.003796
96,7819.7,0.88384,0.77574,0.88518,0.79072,0.85509,0.89117,0.68106,0.91667,0.6756,0.87846,0.00373,0.00373,0.00373
97,7900.67,0.88486,0.77903,0.88396,0.79237,0.8551,0.89161,0.68193,0.91582,0.6756,0.87843,0.003664,0.003664,0.003664
98,7981.6,0.88054,0.77541,0.88143,0.7951,0.85546,0.8917,0.68305,0.91503,0.67548,0.87827,0.003598,0.003598,0.003598
99,8062.57,0.88285,0.77272,0.88224,0.81331,0.83635,0.89102,0.68216,0.91366,0.67481,0.8781,0.003532,0.003532,0.003532
100,8143.44,0.87386,0.76891,0.87997,0.81595,0.84262,0.89088,0.68307,0.91322,0.67457,0.87776,0.003466,0.003466,0.003466
101,8224.42,0.88092,0.7643,0.87907,0.8054,0.84962,0.8898,0.68222,0.91288,0.67382,0.87766,0.0034,0.0034,0.0034
102,8305.3,0.86846,0.76509,0.87969,0.80851,0.85449,0.89173,0.68385,0.91157,0.67258,0.87737,0.003334,0.003334,0.003334
103,8386.29,0.86175,0.75029,0.87918,0.80436,0.85807,0.89243,0.68366,0.9107,0.67217,0.87717,0.003268,0.003268,0.003268
104,8467.17,0.87346,0.74322,0.88338,0.80289,0.85803,0.89257,0.68294,0.91046,0.6721,0.87709,0.003202,0.003202,0.003202
105,8548.11,0.86799,0.74418,0.87948,0.80345,0.85817,0.89368,0.68284,0.90968,0.6721,0.87707,0.003136,0.003136,0.003136
106,8629.04,0.86557,0.74298,0.87683,0.80582,0.8585,0.89377,0.68379,0.90998,0.67273,0.87706,0.00307,0.00307,0.00307
107,8709.9,0.86378,0.73412,0.87857,0.80326,0.8592,0.89256,0.68292,0.90976,0.67234,0.87703,0.003004,0.003004,0.003004
108,8790.78,0.85537,0.72577,0.87938,0.80183,0.8585,0.89379,0.68414,0.90996,0.67249,0.87703,0.002938,0.002938,0.002938
